txn_ref_id,sys_a_date,sys_a_amount_attribute_1,sys_a_amount_attribute_2,sys_b_date,sys_b_amount_attribute_1,sys_b_amount_attribute_2,txn_type,payment_method,recon_status,recon_sub_status,currency_type
42071204,26/08/24,100,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
22592504,26/08/24,6.300000191,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
80888552,26/08/24,150,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
45864178,26/08/24,10,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
95202800,26/08/24,10,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
71994644,26/08/24,50,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
22080766,26/08/24,313,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
51144519,02/09/24,174,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
95801678,04/09/24,10000,3.5,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
85992415,18/09/24,84.5,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
72160656,01/10/24,28000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
80573428,06/10/24,70000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
39706069,22/10/24,2170,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
26832395,14/11/24,1624,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
47444117,25/11/24,8,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
13986642,09/04/24,14,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
72452114,17/04/24,5835.700195,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
84050325,09/08/24,20,1.4,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
32387155,13/05/24,100,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
31439028,16/07/24,508,1.4,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
88420641,23/07/24,1700,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
11190001,30/07/24,500,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
26977529,07/08/24,23,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
80144100,07/08/24,100,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
